DATA;ORA;OPEN;HIGH;LOW;CLOSE;N
02/01/2001;00:00;0.9421;0.9514;0.937;0.9506;0
03/01/2001;00:00;0.9503;0.9571;0.927;0.927;0
04/01/2001;00:00;0.9274;0.9518;0.9272;0.9497;0
05/01/2001;00:00;0.9505;0.9594;0.9466;0.9574;0
08/01/2001;00:00;0.9582;0.9591;0.9466;0.9469;0
09/01/2001;00:00;0.9472;0.9478;0.9386;0.9435;0
10/01/2001;00:00;0.9438;0.9465;0.9363;0.9363;0
11/01/2001;00:00;0.9371;0.9553;0.9367;0.9524;0
12/01/2001;00:00;0.9521;0.9577;0.9471;0.9515;0
15/01/2001;00:00;0.9524;0.9527;0.9409;0.9434;0
16/01/2001;00:00;0.9432;0.944;0.9373;0.9422;0
17/01/2001;00:00;0.9419;0.9445;0.9289;0.9356;0
18/01/2001;00:00;0.9354;0.9465;0.9354;0.9426;0
19/01/2001;00:00;0.9422;0.9503;0.9333;0.9337;0
22/01/2001;00:00;0.9345;0.9403;0.9272;0.9385;0
23/01/2001;00:00;0.9386;0.945;0.9371;0.9371;0
24/01/2001;00:00;0.9345;0.9371;0.9211;0.9214;0
25/01/2001;00:00;0.9236;0.9251;0.9117;0.9236;0
26/01/2001;00:00;0.9246;0.9316;0.92;0.9236;0
29/01/2001;00:00;0.9244;0.926;0.916;0.917;0
30/01/2001;00:00;0.9164;0.928;0.9144;0.9264;0
31/01/2001;00:00;0.926;0.9376;0.9255;0.9369;0
01/02/2001;00:00;0.9362;0.9443;0.936;0.9381;0
02/02/2001;00:00;0.9377;0.9418;0.9319;0.9355;0
05/02/2001;00:00;0.9348;0.9439;0.9344;0.9373;0
06/02/2001;00:00;0.9371;0.9385;0.9284;0.9308;0
07/02/2001;00:00;0.9312;0.9349;0.926;0.9279;0
08/02/2001;00:00;0.9278;0.9299;0.9153;0.9174;0
09/02/2001;00:00;0.9175;0.9274;0.9133;0.9243;0
12/02/2001;00:00;0.9253;0.9328;0.925;0.9316;0
13/02/2001;00:00;0.9308;0.933;0.9173;0.9198;0
14/02/2001;00:00;0.9201;0.9218;0.9166;0.9178;0
15/02/2001;00:00;0.9201;0.9201;0.9027;0.9048;0
16/02/2001;00:00;0.9046;0.9176;0.9046;0.9137;0
19/02/2001;00:00;0.9127;0.9234;0.9118;0.921;0
20/02/2001;00:00;0.9208;0.9238;0.9052;0.9121;0
21/02/2001;00:00;0.9118;0.9181;0.9056;0.9088;0
22/02/2001;00:00;0.9088;0.9129;0.9016;0.9044;0
23/02/2001;00:00;0.9036;0.9206;0.9028;0.9175;0
26/02/2001;00:00;0.9173;0.9184;0.9078;0.91;0
27/02/2001;00:00;0.9095;0.9211;0.9085;0.9183;0
28/02/2001;00:00;0.918;0.9257;0.9163;0.9235;0
01/03/2001;00:00;0.9234;0.9321;0.9227;0.9293;0
02/03/2001;00:00;0.9293;0.938;0.9289;0.9348;0
05/03/2001;00:00;0.9362;0.9365;0.9284;0.9285;0
06/03/2001;00:00;0.9273;0.9349;0.9254;0.9335;0
07/03/2001;00:00;0.9336;0.9371;0.9266;0.929;0
08/03/2001;00:00;0.929;0.934;0.9274;0.9318;0
09/03/2001;00:00;0.932;0.9373;0.9294;0.9331;0
12/03/2001;00:00;0.9325;0.934;0.926;0.9275;0
13/03/2001;00:00;0.9276;0.93;0.9129;0.9151;0
14/03/2001;00:00;0.9149;0.921;0.9081;0.911;0
15/03/2001;00:00;0.9149;0.9149;0.8954;0.8969;0
16/03/2001;00:00;0.8964;0.9002;0.8915;0.8972;0
19/03/2001;00:00;0.8966;0.9018;0.8935;0.8987;0
20/03/2001;00:00;0.8988;0.9099;0.8988;0.9092;0
21/03/2001;00:00;0.9092;0.9123;0.8933;0.8958;0
22/03/2001;00:00;0.8958;0.8966;0.8833;0.8889;0
23/03/2001;00:00;0.8888;0.8967;0.8855;0.8894;0
26/03/2001;00:00;0.8907;0.897;0.8886;0.8955;0
27/03/2001;00:00;0.8958;0.8991;0.8899;0.8933;0
28/03/2001;00:00;0.8929;0.8946;0.8847;0.8857;0
29/03/2001;00:00;0.8858;0.8884;0.8798;0.8829;0
30/03/2001;00:00;0.8858;0.8878;0.8751;0.8776;0
02/04/2001;00:00;0.874;0.8835;0.8733;0.8789;0
03/04/2001;00:00;0.8791;0.8995;0.8791;0.8974;0
04/04/2001;00:00;0.8791;0.905;0.8791;0.9006;0
05/04/2001;00:00;0.9009;0.9091;0.894;0.8966;0
06/04/2001;00:00;0.8966;0.905;0.8926;0.9035;0
09/04/2001;00:00;0.9033;0.9047;0.8962;0.8963;0
10/04/2001;00:00;0.8962;0.8992;0.8866;0.8888;0
11/04/2001;00:00;0.8885;0.8915;0.881;0.8881;0
12/04/2001;00:00;0.8877;0.8943;0.8838;0.8919;0
13/04/2001;00:00;0.8883;0.894;0.8879;0.8887;0
16/04/2001;00:00;0.8884;0.8901;0.883;0.8881;0
17/04/2001;00:00;0.8887;0.891;0.8777;0.8835;0
18/04/2001;00:00;0.883;0.8896;0.8699;0.8828;0
19/04/2001;00:00;0.8836;0.8986;0.8809;0.8974;0
20/04/2001;00:00;0.8973;0.9046;0.8954;0.9033;0
23/04/2001;00:00;0.9013;0.9079;0.8949;0.896;0
24/04/2001;00:00;0.9013;0.9019;0.8932;0.8945;0
25/04/2001;00:00;0.8939;0.9001;0.891;0.8976;0
26/04/2001;00:00;0.897;0.9043;0.8948;0.9034;0
27/04/2001;00:00;0.9027;0.9054;0.8889;0.8913;0
30/04/2001;00:00;0.8912;0.8925;0.8853;0.889;0
01/05/2001;00:00;0.8888;0.894;0.8856;0.8935;0
02/05/2001;00:00;0.8928;0.8951;0.8887;0.8932;0
03/05/2001;00:00;0.8928;0.8977;0.8881;0.8892;0
04/05/2001;00:00;0.8928;0.9007;0.8894;0.8921;0
07/05/2001;00:00;0.8924;0.8934;0.8899;0.8902;0
08/05/2001;00:00;0.8903;0.8915;0.8824;0.8851;0
09/05/2001;00:00;0.8849;0.8865;0.8811;0.8864;0
10/05/2001;00:00;0.8859;0.8921;0.8784;0.8813;0
